date,open,high,low,close,volume
2016-08-19,1612961.092,1649395.5,1610991.664,1649395.5,336100
2016-08-22,1648410.794,1666135.641,1633640.088,1639548.37,252200
2016-08-23,1639548.368,1668105.066,1631670.658,1661212.07,230900
2016-08-24,1654319.071,1656288.498,1610991.667,1627731.8,318700
2016-08-25,1605083.386,1633640.085,1597205.677,1613945.81,283400
2016-08-26,1581450.258,1598190.391,1578496.116,1587358.54,241100
2016-08-29,1577511.398,1614930.52,1572587.83,1614930.52,178500
2016-08-30,1621823.517,1645456.647,1608037.525,1619854.09,156900
2016-08-31,1615915.238,1615915.238,1586373.826,1595236.25,410600
2016-09-01,1558801.835,1563725.404,1539107.56,1562740.69,375800
2016-09-02,1570618.403,1588343.25,1563725.406,1572587.83,163000
2016-09-05,1565694.84,1590312.684,1560771.272,1581450.26,167600
2016-09-06,1582434.966,1619854.087,1572587.828,1617884.66,153200
2016-09-07,1622808.231,1626747.086,1596220.96,1596220.96,191800
2016-09-08,1598190.39,1613945.81,1589327.967,1613945.81,241400
2016-09-09,1586373.824,1593266.821,1540092.279,1550924.13,265100
2016-09-12,1467223.463,1482978.883,1433743.196,1442605.62,529900
2016-09-13,1484948.309,1525321.572,1472147.031,1503657.87,494300
2016-09-19,1514489.725,1545015.851,1512520.298,1534184,448100
2016-09-20,1535168.713,1563725.411,1535168.713,1560771.27,258400
2016-09-21,1570618.401,1576526.684,1551908.84,1567664.26,210100
2016-09-22,1575541.973,1615915.236,1574557.259,1593266.82,228500
2016-09-23,1557817.121,1573572.541,1542061.701,1546985.27,365900
2016-09-26,1546985.271,1571603.114,1540092.275,1544031.13,290400
2016-09-27,1526306.289,1550924.132,1509566.156,1545015.85,196600
2016-09-28,1530245.141,1548954.702,1530245.141,1543046.42,174100
2016-09-29,1548954.699,1594251.531,1547969.986,1575541.97,227900
2016-09-30,1565694.84,1590312.684,1560771.271,1573572.55,235200
2016-10-04,1585389.115,1599175.107,1581450.26,1589327.97,261000
2016-10-05,1576526.683,1601144.526,1572587.828,1594251.53,249400
2016-10-06,1670074.489,1674013.344,1641517.79,1665150.92,591100
2016-10-07,1674013.348,1689768.767,1664166.21,1679921.63,521000
2016-10-10,1624777.658,1663181.494,1603113.956,1654319.07,505800
2016-10-11,1575541.975,1600159.819,1521382.72,1521382.72,768500
2016-10-12,1472147.031,1521382.717,1471162.317,1511535.58,781700
2016-10-13,1526306.284,1556832.41,1521382.715,1533199.28,437200
2016-10-14,1524336.862,1563725.411,1523352.148,1552893.56,283100
2016-10-17,1541076.997,1577511.405,1514489.726,1565694.84,255700
2016-10-18,1547969.987,1570618.402,1547969.987,1564710.12,207600
2016-10-19,1554862.988,1617884.667,1550924.133,1600159.82,308800
2016-10-20,1601144.532,1625762.376,1584404.399,1595236.25,206600
2016-10-21,1581450.253,1588343.25,1563725.406,1564710.12,209500
2016-10-24,1568648.974,1583419.68,1565694.833,1583419.68,185700
2016-10-25,1575541.971,1579480.826,1567664.261,1572587.83,197300
2016-10-26,1572587.832,1574557.259,1538122.851,1543046.42,210600
2016-10-27,1546985.273,1592282.104,1532214.567,1548954.7,282300
2016-10-28,1555847.703,1589327.97,1555847.703,1589327.97,204200
2016-10-31,1591297.394,1613945.81,1586373.825,1613945.81,241300
2016-11-01,1605083.388,1626747.09,1587358.541,1626747.09,206900
2016-11-02,1614930.519,1626747.084,1606068.095,1617884.66,201900
2016-11-03,1605083.382,1614930.52,1581450.253,1591297.39,206800
2016-11-04,1580465.538,1609022.236,1580465.538,1602129.24,142000
2016-11-07,1621823.516,1624777.657,1609022.238,1614930.52,153200
2016-11-08,1623792.949,1623792.949,1610006.956,1618869.38,108300
2016-11-09,1620838.807,1631670.658,1566679.551,1571603.12,313600
2016-11-10,1605083.389,1624777.664,1593266.824,1623792.95,235900
2016-11-11,1560771.271,1593266.825,1560771.271,1573572.55,256700
2016-11-14,1570618.407,1571603.121,1528275.716,1529260.43,302600
2016-11-15,1529260.432,1556832.417,1515474.44,1515474.44,273300
2016-11-16,1516459.153,1540092.282,1516459.153,1534184,266100
2016-11-17,1531229.851,1551908.84,1521382.714,1544031.13,157400
2016-11-18,1557817.125,1563725.407,1546000.56,1561755.98,189200
2016-11-21,1541076.995,1581450.259,1541076.995,1568648.98,163600
