datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 22:36:28,8,2178,2178,2177.5,2177.75,1500,0.222493888,1.208943411
2016-08-01 22:36:29,45,2177.75,2178,2177.5,2177.5,1500,0.84501845,1.045333333
2016-08-01 22:36:39,34,2177.5,2177.75,2177.25,2177.5,1500,0.260504202,1.045333333
2016-08-01 22:36:43,28,2177.5,2178,2177.25,2178,1500,4.769230769,1.000346981
2016-08-01 22:36:48,40,2178,2178,2177.5,2177.5,1500,0.048218029,1.286947791
2016-08-01 22:36:56,65,2177.5,2177.5,2177,2177.25,1500,1.396166134,0.979061246
2016-08-01 22:37:05,46,2177.25,2178,2177.25,2177.5,1500,6.936507937,1.234467748
2016-08-01 22:37:10,60,2177.5,2178,2177.5,2178,1500,1.59965338,1.177600304
2016-08-01 22:37:25,68,2178,2178.25,2177.75,2178.25,1500,0.953125,1.005531344
2016-08-01 22:37:42,30,2178.25,2178.5,2178,2178.25,1500,1.358490566,1.147934332
2016-08-01 22:37:48,31,2178.25,2178.25,2177.75,2178.25,1500,1.158273381,1.072220298
2016-08-01 22:37:56,35,2178.25,2178.5,2177.75,2178.5,1500,1.622377622,1.038277512
2016-08-01 22:38:05,34,2178.5,2178.5,2177.75,2178,1500,1.654867257,1.016873093
2016-08-01 22:38:13,46,2178,2178,2177.5,2177.75,1500,0.260504202,1.302315789
2016-08-01 22:38:22,46,2177.75,2178,2177.75,2178,1500,1.491694352,1.098159509
2016-08-01 22:38:36,40,2178,2178.5,2178,2178,1500,0.477832512,0.999828679
2016-08-01 22:38:51,30,2178,2178.5,2178,2178.5,1500,1.01884253,0.806836841
2016-08-01 22:39:04,53,2178.5,2178.75,2178.25,2178.5,1500,0.554404145,0.767355982
2016-08-01 22:39:13,98,2178.5,2178.75,2178,2178.25,1500,0.385041551,1.299433962
2016-08-01 22:39:38,39,2178.25,2178.5,2178,2178.25,1500,2.092783505,1.288490007
2016-08-01 22:39:52,54,2178.25,2178.5,2178.25,2178.25,1500,1.029769959,0.9151098
2016-08-01 22:40:11,34,2178.25,2178.5,2178,2178.25,1500,1.049180328,1.266217201
2016-08-01 22:40:22,42,2178.25,2178.5,2178,2178.5,1500,20.12676056,0.991515357
2016-08-01 22:40:37,40,2178.5,2178.5,2178,2178.5,1500,1.814258912,1.011522233
2016-08-01 22:40:53,31,2178.5,2178.5,2178.25,2178.5,1500,19,1.189088983
2016-08-01 22:41:03,55,2178.5,2179,2178.5,2178.75,1500,0.704545455,0.760323776
2016-08-01 22:41:16,38,2178.75,2178.75,2178.25,2178.25,1500,0.262626263,1.363238095
2016-08-01 22:41:36,20,2178.25,2178.5,2178.25,2178.25,1500,0.002004008,0.935853934
2016-08-01 22:41:43,70,2178.25,2178.5,2178,2178.25,1500,0.527494908,1.457586619
2016-08-01 22:42:17,26,2178.25,2178.25,2177.75,2178,1500,0.570680628,1.223660554
2016-08-01 22:42:27,30,2178,2178.25,2178,2178.25,1500,2.694581281,0.85220425
2016-08-01 22:42:42,35,2178.25,2178.5,2178,2178,1500,0.210653753,0.931110067
2016-08-01 22:42:59,64,2178,2178,2177.5,2178,1500,0.84501845,1.368473495
2016-08-01 22:43:23,26,2178,2178.5,2178,2178.25,1500,1.272727273,1.198028516
2016-08-01 22:43:34,52,2178.25,2178.5,2178,2178,1500,0.282051282,1.32480315
2016-08-01 22:44:01,22,2178,2178,2177.5,2177.75,1500,0.2,1.049171931
2016-08-01 22:44:06,84,2177.75,2177.75,2177.5,2177.75,1500,2.3632287,0.852597602
2016-08-01 22:44:36,73,2177.75,2178,2177.5,2177.75,1500,0.628664495,1.4581517
2016-08-01 22:45:00,66,2177.75,2177.75,2177.25,2177.5,1500,1.196193265,0.804581038
2016-08-01 22:45:21,41,2177.5,2177.75,2177.25,2177.5,1500,1.559726962,0.889455241
2016-08-01 22:45:32,25,2177.5,2177.75,2177.5,2177.5,1500,0.630434783,0.845383412
2016-08-01 22:45:43,42,2177.5,2177.75,2177.5,2177.75,1500,2.205128205,1.207484865
2016-08-01 22:45:58,56,2177.75,2178,2177.5,2178,1500,6.075471698,0.86560591
2016-08-01 22:46:19,22,2178,2178.25,2178,2178,1500,0.958224543,0.805430501
2016-08-01 22:46:23,32,2178,2178.25,2178,2178,1500,0.280956447,0.769709837
2016-08-01 22:46:32,44,2178,2178.5,2178,2178.5,1500,1.590673575,0.753734469
